FPL Name
mahmoud ahmed ibrahim hassan
vitor ferreira
frederico rodrigues de paula santos
oluwasemilogo adesewo ibidapo ajayi
lucas tolentino coelho de lima
tino livramento
mathias jorgensen
mateus cardoso lemos martins
andre-frank zambo anguissa
bamidele alli
fabio henrique tavares
fernando luiz rosa
francisco casilla cortes
solomon march
edward nketiah
joseph willock
pelenda joshua dasilva
francisco femenia far
francisco jorge tomas oliveira
marcus oliveira alencar
diogo teixeira da silva
benjamin white
nayef aguerd
matty cash
raphael dias belloli
carlos ribeiro dias
mathew ryan
alexandre moreno lopera
conrad egan-riley
jorge luiz frello filho
kenny kenny tete
benjamin chilwell
nicolas nkoulou
daniel ceballos fernandez
carlos henrique casimiro
