team_id;team_name
1;Tottenham
2;Bournemouth
3;Everton
4;Newcastle United
5;Leicester
6;Crystal Palace
7;West Ham
8;Fulham
9;Leeds
10;Manchester United
11;Manchester City
12;Chelsea
13;Brighton
14;Arsenal
15;Nottingham Forest
16;Liverpool
17;Southampton
18;Wolverhampton Wanderers
19;Brentford
20;Aston Villa
21;Burnley
22;Watford
23;Norwich
24;Sheffield United
25;West Bromwich Albion
